Time,CPU Temperature,CPU Usage
2021-10-18 16:07:34.911676,60.0,0.0
2021-10-18 16:07:35.918169,60.0,12.0
2021-10-18 16:07:36.925123,61.0,39.7
2021-10-18 16:07:37.932274,62.0,27.8
2021-10-18 16:07:38.938184,62.0,18.8
2021-10-18 16:07:39.945455,62.0,11.1
2021-10-18 16:07:40.952590,62.0,30.9
2021-10-18 16:07:41.960085,63.0,31.3
2021-10-18 16:07:42.966803,63.0,34.3
2021-10-18 16:07:43.973146,64.0,39.8
2021-10-18 16:07:44.980988,66.0,77.9
2021-10-18 16:07:45.987465,67.0,69.9
2021-10-18 16:07:47.001795,69.0,71.8
2021-10-18 16:07:48.008666,70.0,77.1
2021-10-18 16:07:49.017603,71.0,80.5
2021-10-18 16:07:50.026136,73.0,97.0
2021-10-18 16:07:51.033454,74.0,85.3
2021-10-18 16:07:52.042186,74.0,84.8
2021-10-18 16:07:53.050172,74.0,89.0
2021-10-18 16:07:54.061961,75.0,87.7
2021-10-18 16:07:55.069751,75.0,90.4
2021-10-18 16:07:56.077557,75.0,88.2
2021-10-18 16:07:57.086422,76.0,87.1
2021-10-18 16:07:58.095647,76.0,90.0
2021-10-18 16:07:59.103436,76.0,85.9
2021-10-18 16:08:00.113207,76.0,95.5
2021-10-18 16:08:01.120572,76.0,95.0
2021-10-18 16:08:02.128562,76.0,97.8
2021-10-18 16:08:03.141832,76.0,96.8
2021-10-18 16:08:04.151132,77.0,94.6
2021-10-18 16:08:05.164703,77.0,94.5
2021-10-18 16:08:06.172239,77.0,98.0
2021-10-18 16:08:07.179549,77.0,98.5
2021-10-18 16:08:08.190873,77.0,96.3
2021-10-18 16:08:09.198153,77.0,97.8
2021-10-18 16:08:10.206905,77.0,93.9
2021-10-18 16:08:11.216019,77.0,95.5
2021-10-18 16:08:12.223965,77.0,98.2
2021-10-18 16:08:13.232202,77.0,97.0
2021-10-18 16:08:14.240224,77.0,94.5
2021-10-18 16:08:15.248371,77.0,95.5
2021-10-18 16:08:16.255982,77.0,96.0
2021-10-18 16:08:17.265960,77.0,96.6
2021-10-18 16:08:18.276188,77.0,97.3
2021-10-18 16:08:19.285236,77.0,98.5
2021-10-18 16:08:20.294340,77.0,99.0
2021-10-18 16:08:21.303359,77.0,97.7
2021-10-18 16:08:22.313544,77.0,97.8
2021-10-18 16:08:23.321323,77.0,97.5
2021-10-18 16:08:24.330147,77.0,97.5
2021-10-18 16:08:25.339277,78.0,96.8
2021-10-18 16:08:26.347454,78.0,97.2
2021-10-18 16:08:27.355906,78.0,97.2
2021-10-18 16:08:28.363715,78.0,96.0
2021-10-18 16:08:29.378132,78.0,96.5
2021-10-18 16:08:30.388831,78.0,97.3
2021-10-18 16:08:31.402138,78.0,97.3
2021-10-18 16:08:32.411282,78.0,95.8
2021-10-18 16:08:33.422201,78.0,96.8
2021-10-18 16:08:34.431572,78.0,96.3
2021-10-18 16:08:35.440712,78.0,96.5
2021-10-18 16:08:36.453438,78.0,97.0
2021-10-18 16:08:37.461134,78.0,98.0
2021-10-18 16:08:38.469415,78.0,97.0
2021-10-18 16:08:39.477674,78.0,96.5
2021-10-18 16:08:40.491347,78.0,96.8
2021-10-18 16:08:41.506141,78.0,97.5
2021-10-18 16:08:42.514208,78.0,97.8
2021-10-18 16:08:43.522193,79.0,96.0
2021-10-18 16:08:44.530159,79.0,96.8
2021-10-18 16:08:45.538475,79.0,96.2
2021-10-18 16:08:46.546164,79.0,95.8
2021-10-18 16:08:47.553319,79.0,96.5
2021-10-18 16:08:48.561285,79.0,96.7
2021-10-18 16:08:49.568860,79.0,97.3
2021-10-18 16:08:50.581627,79.0,97.0
2021-10-18 16:08:51.590197,79.0,96.0
2021-10-18 16:08:52.598064,79.0,97.2
2021-10-18 16:08:53.610611,79.0,96.5
2021-10-18 16:08:54.625008,79.0,97.8
2021-10-18 16:08:55.639484,79.0,96.0
2021-10-18 16:08:56.647835,79.0,97.3
2021-10-18 16:08:57.657029,79.0,97.0
2021-10-18 16:08:58.664829,79.0,97.5
2021-10-18 16:08:59.674158,79.0,97.2
2021-10-18 16:09:00.682117,79.0,97.0
2021-10-18 16:09:01.692125,79.0,96.0
2021-10-18 16:09:02.702148,79.0,97.0
2021-10-18 16:09:03.712039,79.0,97.7
2021-10-18 16:09:04.721492,79.0,97.3
2021-10-18 16:09:05.740268,79.0,97.3
2021-10-18 16:09:06.753791,79.0,97.5
2021-10-18 16:09:07.762550,79.0,98.3
2021-10-18 16:09:08.770604,79.0,96.7
2021-10-18 16:09:09.778387,79.0,97.0
2021-10-18 16:09:10.788362,79.0,96.7
2021-10-18 16:09:11.796267,79.0,97.8
2021-10-18 16:09:12.808518,79.0,98.0
2021-10-18 16:09:13.817033,79.0,97.5
2021-10-18 16:09:14.827363,79.0,96.8
2021-10-18 16:09:15.842268,79.0,96.2
2021-10-18 16:09:16.850514,79.0,96.0
2021-10-18 16:09:17.861135,79.0,96.5
2021-10-18 16:09:18.879335,79.0,96.8
2021-10-18 16:09:19.892584,79.0,97.0
2021-10-18 16:09:20.907245,79.0,97.1
2021-10-18 16:09:21.917224,78.0,97.0
2021-10-18 16:09:22.926919,79.0,98.0
2021-10-18 16:09:23.937431,79.0,97.0
2021-10-18 16:09:24.948081,79.0,97.0
2021-10-18 16:09:25.964397,79.0,97.2
2021-10-18 16:09:26.972751,79.0,96.2
2021-10-18 16:09:27.982198,79.0,97.2
2021-10-18 16:09:28.992551,79.0,97.5
2021-10-18 16:09:30.001276,79.0,97.0
2021-10-18 16:09:31.012552,79.0,95.7
2021-10-18 16:09:32.022169,79.0,96.1
2021-10-18 16:09:33.033839,79.0,97.5
2021-10-18 16:09:34.041468,79.0,96.8
2021-10-18 16:09:35.049960,79.0,97.3
2021-10-18 16:09:36.062111,79.0,97.5
2021-10-18 16:09:37.072223,79.0,95.0
2021-10-18 16:09:38.081279,79.0,97.2
2021-10-18 16:09:39.093036,79.0,97.3
2021-10-18 16:09:40.105236,79.0,96.3
2021-10-18 16:09:41.115249,79.0,96.2
2021-10-18 16:09:42.124584,79.0,96.7
2021-10-18 16:09:43.132999,79.0,98.2
2021-10-18 16:09:44.142817,79.0,97.3
2021-10-18 16:09:45.151409,79.0,97.5
2021-10-18 16:09:46.158850,79.0,96.5
2021-10-18 16:09:47.169648,79.0,96.3
2021-10-18 16:09:48.178158,79.0,97.3
2021-10-18 16:09:49.193300,79.0,96.0
2021-10-18 16:09:50.203186,79.0,97.0
2021-10-18 16:09:51.211849,79.0,96.5
2021-10-18 16:09:52.220185,79.0,97.3
2021-10-18 16:09:53.233662,79.0,97.0
2021-10-18 16:09:54.246188,79.0,95.7
2021-10-18 16:09:55.254161,79.0,96.3
2021-10-18 16:09:56.264674,79.0,96.8
2021-10-18 16:09:57.275870,79.0,97.8
2021-10-18 16:09:58.291446,79.0,97.0
2021-10-18 16:09:59.300497,79.0,96.7
2021-10-18 16:10:00.310790,79.0,96.0
2021-10-18 16:10:01.326189,79.0,97.0
2021-10-18 16:10:02.338188,79.0,96.6
2021-10-18 16:10:03.347491,79.0,96.3
2021-10-18 16:10:04.361295,79.0,96.5
2021-10-18 16:10:05.370160,79.0,95.8
2021-10-18 16:10:06.378731,79.0,97.0
2021-10-18 16:10:07.387441,79.0,98.3
2021-10-18 16:10:08.398153,79.0,97.3
2021-10-18 16:10:09.407407,79.0,96.8
2021-10-18 16:10:10.422172,79.0,96.5
2021-10-18 16:10:11.430363,79.0,96.0
2021-10-18 16:10:12.440168,79.0,97.2
2021-10-18 16:10:13.450325,79.0,96.5
2021-10-18 16:10:14.458414,79.0,97.8
2021-10-18 16:10:15.467490,79.0,97.0
2021-10-18 16:10:16.475920,79.0,96.3
2021-10-18 16:10:17.484417,79.0,97.0
2021-10-18 16:10:18.494154,79.0,97.0
2021-10-18 16:10:19.503302,78.0,96.8
2021-10-18 16:10:20.516922,78.0,96.8
2021-10-18 16:10:21.527818,78.0,96.5
2021-10-18 16:10:22.538153,78.0,96.0
2021-10-18 16:10:23.546788,78.0,97.5
2021-10-18 16:10:24.557163,78.0,98.0
2021-10-18 16:10:25.568395,78.0,96.3
2021-10-18 16:10:26.576674,78.0,97.7
2021-10-18 16:10:27.584930,78.0,96.8
2021-10-18 16:10:28.592963,78.0,97.0
2021-10-18 16:10:29.601407,78.0,96.7
2021-10-18 16:10:30.611455,78.0,97.8
2021-10-18 16:10:31.623648,78.0,97.0
2021-10-18 16:10:32.633313,78.0,96.3
2021-10-18 16:10:33.643654,78.0,97.3
2021-10-18 16:10:34.653805,78.0,96.2
2021-10-18 16:10:35.662182,78.0,97.8
2021-10-18 16:10:36.680313,79.0,97.3
2021-10-18 16:10:37.689704,79.0,97.3
2021-10-18 16:10:38.703064,79.0,96.2
2021-10-18 16:10:39.713563,79.0,97.3
2021-10-18 16:10:40.729224,79.0,96.5
2021-10-18 16:10:41.739352,79.0,97.5
2021-10-18 16:10:42.749901,79.0,96.2
2021-10-18 16:10:43.758146,79.0,96.7
2021-10-18 16:10:44.769657,79.0,97.8
2021-10-18 16:10:45.780448,79.0,96.0
2021-10-18 16:10:46.790150,79.0,97.5
2021-10-18 16:10:47.801220,79.0,96.5
2021-10-18 16:10:48.817752,79.0,97.3
2021-10-18 16:10:49.828136,79.0,96.0
2021-10-18 16:10:50.838181,79.0,97.5
2021-10-18 16:10:51.850151,79.0,97.0
2021-10-18 16:10:52.865659,79.0,96.2
2021-10-18 16:10:53.873671,79.0,96.5
2021-10-18 16:10:54.882165,79.0,96.2
2021-10-18 16:10:55.891483,79.0,96.5
2021-10-18 16:10:56.908925,79.0,95.0
2021-10-18 16:10:57.923114,79.0,96.7
2021-10-18 16:10:58.932132,79.0,96.3
2021-10-18 16:10:59.941378,79.0,96.3
2021-10-18 16:11:00.951647,79.0,96.3
2021-10-18 16:11:01.967376,79.0,97.3
2021-10-18 16:11:02.976676,79.0,95.5
2021-10-18 16:11:03.985710,79.0,96.7
2021-10-18 16:11:04.996789,79.0,95.8
2021-10-18 16:11:06.007330,78.0,96.2
2021-10-18 16:11:07.016783,79.0,96.3
2021-10-18 16:11:08.025642,79.0,96.5
2021-10-18 16:11:09.035531,79.0,97.0
2021-10-18 16:11:10.050000,79.0,96.2
2021-10-18 16:11:11.058853,78.0,96.3
2021-10-18 16:11:12.076920,78.0,97.0
2021-10-18 16:11:13.087615,78.0,96.8
2021-10-18 16:11:14.097333,78.0,98.3
2021-10-18 16:11:15.107888,78.0,96.7
2021-10-18 16:11:16.119782,78.0,96.5
2021-10-18 16:11:17.130176,79.0,96.0
2021-10-18 16:11:18.139265,79.0,96.7
2021-10-18 16:11:19.150091,79.0,97.0
2021-10-18 16:11:20.168494,79.0,97.0
2021-10-18 16:11:21.176754,78.0,96.0
2021-10-18 16:11:22.189953,79.0,97.8
2021-10-18 16:11:23.198152,79.0,97.0
2021-10-18 16:11:24.206361,79.0,96.2
2021-10-18 16:11:25.214162,79.0,96.5
2021-10-18 16:11:26.222718,79.0,96.0
2021-10-18 16:11:27.235600,79.0,96.7
2021-10-18 16:11:28.254074,79.0,97.0
2021-10-18 16:11:29.265168,79.0,96.3
2021-10-18 16:11:30.278157,79.0,97.5
2021-10-18 16:11:31.286167,79.0,95.5
2021-10-18 16:11:32.297798,79.0,97.0
2021-10-18 16:11:33.309213,79.0,97.3
2021-10-18 16:11:34.317815,79.0,98.5
2021-10-18 16:11:35.327376,79.0,96.8
2021-10-18 16:11:36.339474,79.0,98.3
2021-10-18 16:11:37.350199,79.0,96.2
2021-10-18 16:11:38.362158,79.0,95.8
2021-10-18 16:11:39.370151,79.0,97.3
2021-10-18 16:11:40.380509,79.0,97.5
2021-10-18 16:11:41.388936,79.0,95.8
2021-10-18 16:11:42.407774,79.0,95.8
2021-10-18 16:11:43.417219,79.0,97.1
2021-10-18 16:11:44.431618,79.0,97.0
2021-10-18 16:11:45.441213,79.0,97.0
2021-10-18 16:11:46.453720,79.0,97.5
2021-10-18 16:11:47.462416,79.0,97.0
2021-10-18 16:11:48.472583,79.0,96.6
2021-10-18 16:11:49.492136,79.0,96.0
2021-10-18 16:11:50.501433,79.0,97.5
2021-10-18 16:11:51.509948,79.0,97.7
2021-10-18 16:11:52.518149,79.0,96.8
2021-10-18 16:11:53.528298,79.0,96.5
2021-10-18 16:11:54.536560,79.0,97.8
2021-10-18 16:11:55.548496,79.0,96.8
2021-10-18 16:11:56.559834,79.0,97.5
2021-10-18 16:11:57.568344,79.0,97.0
2021-10-18 16:11:58.580091,79.0,97.3
2021-10-18 16:11:59.593784,79.0,97.5
2021-10-18 16:12:00.604287,79.0,97.3
2021-10-18 16:12:01.617375,79.0,97.0
2021-10-18 16:12:02.626156,79.0,96.8
2021-10-18 16:12:03.636301,79.0,97.5
2021-10-18 16:12:04.644872,79.0,96.3
2021-10-18 16:12:05.656186,79.0,97.0
2021-10-18 16:12:06.681556,79.0,97.3
2021-10-18 16:12:07.697038,79.0,96.5
2021-10-18 16:12:08.705852,79.0,97.8
2021-10-18 16:12:09.719983,79.0,96.0
2021-10-18 16:12:10.728670,79.0,97.5
2021-10-18 16:12:11.738343,79.0,96.5
2021-10-18 16:12:12.750160,79.0,98.3
2021-10-18 16:12:13.762217,79.0,97.0
2021-10-18 16:12:14.771749,79.0,96.8
2021-10-18 16:12:15.781926,79.0,97.3
2021-10-18 16:12:16.791455,79.0,96.5
2021-10-18 16:12:17.800346,79.0,97.3
2021-10-18 16:12:18.808642,79.0,97.0
2021-10-18 16:12:19.819370,79.0,97.0
2021-10-18 16:12:20.830568,79.0,96.8
2021-10-18 16:12:21.844414,79.0,96.7
2021-10-18 16:12:22.853091,79.0,96.7
2021-10-18 16:12:23.870266,79.0,96.8
2021-10-18 16:12:24.883427,79.0,97.0
2021-10-18 16:12:25.897325,79.0,96.5
2021-10-18 16:12:26.906164,79.0,96.8
2021-10-18 16:12:27.915889,79.0,97.5
2021-10-18 16:12:28.932079,79.0,97.5
2021-10-18 16:12:29.942172,79.0,97.5
2021-10-18 16:12:30.950777,79.0,96.3
2021-10-18 16:12:31.959219,79.0,96.8
2021-10-18 16:12:32.970663,79.0,96.5
2021-10-18 16:12:33.981033,79.0,98.0
2021-10-18 16:12:34.989508,79.0,97.0
2021-10-18 16:12:36.003981,79.0,96.0
2021-10-18 16:12:37.014354,79.0,95.7
2021-10-18 16:12:38.022178,79.0,96.8
2021-10-18 16:12:39.031387,79.0,96.7
2021-10-18 16:12:40.040840,79.0,97.0
2021-10-18 16:12:41.054186,79.0,97.3
2021-10-18 16:12:42.065850,79.0,97.3
2021-10-18 16:12:43.074163,79.0,98.0
2021-10-18 16:12:44.086456,79.0,97.5
2021-10-18 16:12:45.095398,79.0,97.0
2021-10-18 16:12:46.107095,78.0,97.0
2021-10-18 16:12:47.116137,79.0,97.5
2021-10-18 16:12:48.124472,79.0,97.8
2021-10-18 16:12:49.142158,78.0,94.6
2021-10-18 16:12:50.158150,78.0,82.2
2021-10-18 16:12:51.170144,79.0,80.1
2021-10-18 16:12:52.180754,79.0,70.2
2021-10-18 16:12:53.188454,79.0,54.5
2021-10-18 16:12:54.195226,79.0,55.1
2021-10-18 16:12:55.203371,79.0,55.2
2021-10-18 16:12:56.213387,79.0,51.9
