Time,CPU Temperature,CPU Usage,,,,
42:30.9,66,27.4,,,,
42:31.9,68,43.9,,,,
42:32.9,68,28.8,,,,
42:33.9,69,41.8,,,,
42:34.9,71,77.5,,,,
42:35.9,72,67.1,,,,
42:36.9,72,38.2,,,,
42:37.9,73,57.3,,,,
42:38.9,74,61.4,,,,
42:39.9,75,64.6,,,Temp,Usage
42:40.9,76,75.4,,Max,80,97.8
42:41.9,76,84.7,,Min,68,12.1
42:43.0,76,88.4,,Average,76.92307692,82.60828402
42:44.0,77,96,,,,
42:45.0,77,89,,,,
42:46.0,76,78.4,,,,
42:47.0,76,76.8,,,,
42:48.0,76,77,,,,
42:49.0,76,79.9,,,,
42:50.0,76,89.8,,,,
42:51.0,76,90.5,,,,
42:52.0,76,89.4,,,,
42:53.0,76,86.6,,,,
42:54.1,76,87.7,,,,
42:55.1,76,83.8,,,,
42:56.1,76,85.8,,,,
42:57.1,76,85.1,,,,
42:58.1,76,85.2,,,,
42:59.1,76,95.5,,,,
43:00.1,76,94.6,,,,
43:01.1,76,96.3,,,,
43:02.1,76,97,,,,
43:03.2,76,97.3,,,,
43:04.2,76,96,,,,
43:05.2,76,92.7,,,,
43:06.2,76,88.7,,,,
43:07.2,76,96.5,,,,
43:08.2,76,97.3,,,,
43:09.2,76,94.5,,,,
43:10.2,76,88.8,,,,
43:11.2,76,83.8,,,,
43:12.2,76,84.3,,,,
43:13.3,76,84.6,,,,
43:14.3,76,85.5,,,,
43:15.3,76,87.6,,,,
43:16.3,76,84.4,,,,
43:17.3,76,90.9,,,,
43:18.3,76,96.8,,,,
43:19.3,76,97.8,,,,
43:20.3,77,97.5,,,,
43:21.3,77,91.4,,,,
43:22.4,77,88.1,,,,
43:23.4,77,89.8,,,,
43:24.4,77,87.9,,,,
43:25.4,77,89.2,,,,
43:26.4,77,88.1,,,,
43:27.4,77,88,,,,
43:28.4,77,90.2,,,,
43:29.4,77,86.5,,,,
43:30.4,77,85.9,,,,
43:31.5,77,88.6,,,,
43:32.5,77,86.5,,,,
43:33.5,77,88.4,,,,
43:34.5,77,89.3,,,,
43:35.5,77,85.3,,,,
43:36.5,77,87.5,,,,
43:37.5,77,88.5,,,,
43:38.5,77,87.6,,,,
43:39.5,77,89.3,,,,
43:40.5,77,88.7,,,,
43:41.6,77,87,,,,
43:42.6,77,88.7,,,,
43:43.6,77,87.7,,,,
43:44.6,77,86.9,,,,
43:45.6,77,89.6,,,,
43:46.6,77,85.8,,,,
43:47.6,77,88,,,,
43:48.6,77,86.8,,,,
43:49.6,77,86.3,,,,
43:50.6,77,86.4,,,,
43:51.7,77,87.7,,,,
43:52.7,77,88.2,,,,
43:53.7,77,88.2,,,,
43:54.7,77,88.7,,,,
43:55.7,77,88.6,,,,
43:56.7,77,88.6,,,,
43:57.7,77,85.5,,,,
43:58.7,77,85.5,,,,
43:59.8,77,88.4,,,,
44:00.8,77,88.8,,,,
44:01.8,77,88.4,,,,
44:02.8,77,87.9,,,,
44:03.8,78,86.3,,,,
44:04.8,78,88.8,,,,
44:05.8,78,87.6,,,,
44:06.8,77,87.4,,,,
44:07.8,78,87.9,,,,
44:08.9,78,87.1,,,,
44:09.9,78,87.9,,,,
44:10.9,78,88.4,,,,
44:11.9,78,86.2,,,,
44:12.9,78,89.4,,,,
44:13.9,78,87.6,,,,
44:14.9,78,88.8,,,,
44:15.9,78,86.5,,,,
44:16.9,78,88.7,,,,
44:17.9,78,86.2,,,,
44:19.0,78,88.9,,,,
44:20.0,78,86.7,,,,
44:21.0,78,88.6,,,,
44:22.0,78,85.6,,,,
44:23.0,78,88.1,,,,
44:24.0,78,88.6,,,,
44:25.0,78,89.1,,,,
44:26.0,78,87.4,,,,
44:27.0,78,86.3,,,,
44:28.0,78,88.3,,,,
44:29.1,78,87.2,,,,
44:30.1,78,90.4,,,,
44:31.1,78,87.6,,,,
44:32.1,78,87,,,,
44:33.1,78,85.4,,,,
44:34.1,78,86.1,,,,
44:35.1,78,86.3,,,,
44:36.1,78,87.3,,,,
44:37.1,78,85.1,,,,
44:38.2,78,86.1,,,,
44:39.2,78,86.1,,,,
44:40.2,78,85.7,,,,
44:41.2,78,87.2,,,,
44:42.2,78,88.8,,,,
44:43.2,78,87.4,,,,
44:44.2,78,86.4,,,,
44:45.2,78,87.8,,,,
44:46.2,78,86.5,,,,
44:47.2,78,87.1,,,,
44:48.3,78,84.9,,,,
44:49.3,78,86.4,,,,
44:50.3,78,87.1,,,,
44:51.3,78,87.9,,,,
44:52.3,78,89,,,,
44:53.3,79,89.6,,,,
44:54.3,79,86.9,,,,
44:55.3,79,85.9,,,,
44:56.3,79,86.1,,,,
44:57.4,79,88.5,,,,
44:58.4,79,87.1,,,,
44:59.4,79,87.9,,,,
45:00.4,79,87.3,,,,
45:01.4,79,88.5,,,,
45:02.4,79,87.7,,,,
45:03.4,79,91.7,,,,
45:04.4,79,90.7,,,,
45:05.4,79,89,,,,
45:06.4,79,87.2,,,,
45:07.5,79,87.8,,,,
45:08.5,79,87.6,,,,
45:09.5,79,86.4,,,,
45:10.5,80,68.6,,,,
45:11.5,80,75.1,,,,
45:12.5,80,68.8,,,,
45:13.5,79,60.2,,,,
45:14.5,79,43.7,,,,
45:15.5,78,32,,,,
45:16.5,77,21.3,,,,
45:17.6,76,12.2,,,,
45:18.6,75,13.7,,,,
45:19.6,74,12.1,,,,
45:20.6,73,19.6,,,,
