Time,CPU Temperature,CPU Usage
2021-10-18 16:27:15.221846,63.0,66.7
2021-10-18 16:27:16.228566,63.0,0.7
2021-10-18 16:27:17.240597,63.0,2.7
2021-10-18 16:27:18.248038,64.0,16.9
2021-10-18 16:27:19.258234,64.0,9.5
2021-10-18 16:27:20.264956,64.0,16.3
2021-10-18 16:27:21.271628,65.0,21.2
2021-10-18 16:27:22.278544,65.0,21.6
2021-10-18 16:27:23.284902,66.0,16.1
2021-10-18 16:27:24.291321,67.0,37.3
2021-10-18 16:27:25.300424,67.0,34.2
2021-10-18 16:27:26.306145,68.0,44.5
2021-10-18 16:27:27.313190,70.0,84.6
2021-10-18 16:27:28.326125,71.0,68.3
2021-10-18 16:27:29.334153,72.0,67.3
2021-10-18 16:27:30.341813,72.0,92.1
2021-10-18 16:27:31.360273,72.0,94.0
2021-10-18 16:27:32.369621,73.0,88.9
2021-10-18 16:27:33.377981,73.0,96.0
2021-10-18 16:27:34.387722,73.0,87.9
2021-10-18 16:27:35.399638,73.0,79.8
2021-10-18 16:27:36.410162,73.0,76.2
2021-10-18 16:27:37.418573,73.0,75.8
2021-10-18 16:27:38.433194,73.0,72.1
2021-10-18 16:27:39.442230,73.0,74.6
2021-10-18 16:27:40.450157,73.0,89.5
2021-10-18 16:27:41.458172,73.0,88.0
2021-10-18 16:27:42.472761,73.0,91.2
2021-10-18 16:27:43.483640,73.0,85.8
2021-10-18 16:27:44.493508,73.0,83.0
2021-10-18 16:27:45.502222,73.0,81.3
2021-10-18 16:27:46.510158,73.0,81.3
2021-10-18 16:27:47.521447,73.0,77.7
2021-10-18 16:27:48.532750,73.0,82.4
2021-10-18 16:27:49.542643,73.0,87.4
2021-10-18 16:27:50.556588,73.0,84.2
2021-10-18 16:27:51.565870,73.0,80.6
2021-10-18 16:27:52.574153,73.0,88.5
2021-10-18 16:27:53.586177,73.0,95.1
2021-10-18 16:27:54.599477,73.0,96.0
2021-10-18 16:27:55.612499,74.0,95.5
2021-10-18 16:27:56.621433,74.0,94.0
2021-10-18 16:27:57.632393,74.0,97.0
2021-10-18 16:27:58.644780,74.0,93.9
2021-10-18 16:27:59.656795,74.0,78.3
2021-10-18 16:28:00.666171,74.0,80.5
2021-10-18 16:28:01.684534,74.0,98.5
2021-10-18 16:28:02.697029,74.0,95.2
2021-10-18 16:28:03.707048,74.0,87.1
2021-10-18 16:28:04.716731,74.0,85.9
2021-10-18 16:28:05.728341,74.0,84.7
2021-10-18 16:28:06.749657,74.0,86.4
2021-10-18 16:28:07.763643,74.0,86.4
2021-10-18 16:28:08.775147,74.0,87.1
2021-10-18 16:28:09.783977,74.0,87.8
2021-10-18 16:28:10.804656,74.0,86.0
2021-10-18 16:28:11.815305,74.0,86.8
2021-10-18 16:28:12.827372,74.0,83.5
2021-10-18 16:28:13.840077,74.0,87.6
2021-10-18 16:28:14.851159,74.0,83.5
2021-10-18 16:28:15.859173,74.0,86.5
2021-10-18 16:28:16.873257,74.0,88.9
2021-10-18 16:28:17.882166,74.0,83.4
2021-10-18 16:28:18.893667,74.0,84.3
2021-10-18 16:28:19.902518,74.0,96.5
2021-10-18 16:28:20.912375,74.0,97.5
2021-10-18 16:28:21.921164,74.0,96.0
2021-10-18 16:28:22.931256,74.0,90.6
2021-10-18 16:28:23.941514,74.0,88.2
2021-10-18 16:28:24.955607,74.0,89.1
2021-10-18 16:28:25.964757,74.0,87.2
2021-10-18 16:28:26.976148,74.0,86.4
2021-10-18 16:28:27.987898,74.0,88.9
2021-10-18 16:28:29.002665,74.0,88.9
2021-10-18 16:28:30.011423,74.0,90.7
2021-10-18 16:28:31.019389,74.0,86.2
2021-10-18 16:28:32.030612,74.0,88.6
